Image,Threshold,Runtime(ms),Compression Ratio
4.1.01,5,4.20,0.819
4.1.01,10,1.19,0.637
4.1.01,20,1.00,0.458
4.1.01,50,0.53,0.272
4.1.02,5,0.87,0.752
4.1.02,10,0.64,0.607
4.1.02,20,0.59,0.460
4.1.02,50,0.81,0.271
4.1.03,5,0.82,0.337
4.1.03,10,0.43,0.265
4.1.03,20,0.36,0.212
4.1.03,50,0.33,0.150
4.1.04,5,0.66,0.670
4.1.04,10,0.59,0.510
4.1.04,20,0.50,0.382
4.1.04,50,0.41,0.250
4.1.05,5,0.69,0.784
4.1.05,10,1.29,0.643
4.1.05,20,0.90,0.423
4.1.05,50,0.58,0.225
4.1.06,5,1.68,0.959
4.1.06,10,13.47,0.876
4.1.06,20,2.57,0.766
4.1.06,50,1.27,0.540
4.1.07,5,0.67,0.248
4.1.07,10,0.70,0.214
4.1.07,20,0.74,0.182
4.1.07,50,0.43,0.140
4.1.08,5,1.28,0.375
4.1.08,10,0.73,0.325
4.1.08,20,0.68,0.277
4.1.08,50,0.59,0.210
4.2.01,5,1.50,0.702
4.2.01,10,0.94,0.450
4.2.01,20,0.73,0.290
4.2.01,50,0.44,0.161
4.2.03,5,2.39,1.303
4.2.03,10,4.31,1.261
4.2.03,20,1.13,1.185
4.2.03,50,1.18,1.012
4.2.06,5,0.85,1.091
4.2.06,10,0.80,0.941
4.2.06,20,1.07,0.779
4.2.06,50,0.60,0.568
4.2.07,5,0.88,1.055
4.2.07,10,0.77,0.823
4.2.07,20,0.63,0.591
4.2.07,50,1.25,0.365
5.1.09,5,1.13,1.208
5.1.09,10,1.06,1.061
5.1.09,20,0.91,0.794
5.1.09,50,0.55,0.367
5.1.10,5,1.58,1.231
5.1.10,10,0.90,1.147
5.1.10,20,1.55,1.032
5.1.10,50,0.79,0.858
5.1.14,5,0.90,1.190
5.1.14,10,2.81,1.060
5.1.14,20,0.81,0.887
5.1.14,50,0.69,0.636
5.2.08,5,0.89,1.090
5.2.08,10,0.82,0.946
5.2.08,20,0.74,0.774
5.2.08,50,0.61,0.560
5.2.09,5,0.05,0.000
5.2.09,10,0.05,0.000
5.2.09,20,0.14,0.000
5.2.09,50,0.14,0.000
5.2.10,5,0.95,1.258
5.2.10,10,0.93,1.236
5.2.10,20,1.15,1.138
5.2.10,50,0.84,0.999
5.3.01,5,0.95,1.201
5.3.01,10,0.88,1.110
5.3.01,20,0.83,0.972
5.3.01,50,0.73,0.752
5.3.02,5,0.93,1.277
5.3.02,10,0.94,1.201
5.3.02,20,0.88,1.051
5.3.02,50,3.16,0.787
7.1.01,5,0.90,1.145
7.1.01,10,0.87,1.022
7.1.01,20,0.78,0.839
7.1.01,50,0.62,0.559
7.1.02,5,0.55,0.453
7.1.02,10,0.38,0.225
7.1.02,20,0.31,0.151
7.1.02,50,0.27,0.107
7.1.03,5,0.91,1.220
7.1.03,10,0.90,1.121
7.1.03,20,0.94,0.913
7.1.03,50,0.60,0.507
7.1.04,5,0.91,1.210
7.1.04,10,0.89,1.115
7.1.04,20,0.98,0.932
7.1.04,50,0.65,0.551
7.1.05,5,0.98,1.252
7.1.05,10,0.92,1.208
7.1.05,20,0.88,1.125
7.1.05,50,0.83,0.915
7.1.06,5,1.81,1.277
7.1.06,10,0.96,1.234
7.1.06,20,0.91,1.156
7.1.06,50,0.86,0.941
7.1.07,5,0.93,1.296
7.1.07,10,1.19,1.252
7.1.07,20,1.72,1.155
7.1.07,50,0.84,0.891
7.1.08,5,0.87,1.058
7.1.08,10,0.81,0.858
7.1.08,20,0.64,0.559
7.1.08,50,0.38,0.245
7.1.09,5,0.98,1.269
7.1.09,10,0.92,1.208
7.1.09,20,1.64,1.081
7.1.09,50,0.77,0.770
7.1.10,5,1.13,1.244
7.1.10,10,1.12,1.153
7.1.10,20,1.19,0.981
7.1.10,50,0.68,0.606
7.2.01,5,0.89,1.158
7.2.01,10,0.87,0.949
7.2.01,20,0.58,0.521
7.2.01,50,0.28,0.187
boat.512,5,0.89,1.167
boat.512,10,0.86,1.026
boat.512,20,2.44,0.833
boat.512,50,1.19,0.601
gray21.512,5,0.32,0.106
gray21.512,10,0.33,0.106
gray21.512,20,0.31,0.069
gray21.512,50,0.20,0.034
house,5,0.79,0.959
house,10,1.01,0.855
house,20,0.72,0.774
house,50,0.63,0.637
